id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1079902957938925568,1079902957938925568,1546303903000,2019-01-01,02:51:43,GTB Standard Time,25073877,realdonaldtrump,Donald J. Trump,,"The Democrats will probably submit a Bill, being cute as always, which gives everything away but gives NOTHING to Border Security, namely the Wall. You see, without the Wall there can be no Border Security - the Tech “stuff” is just, by comparison, meaningless bells & whistles...",[],[],[],20070,20267,91729,[],[],https://twitter.com/realDonaldTrump/status/1079902957938925568,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1079900120047603713,1079900120047603713,1546303226000,2019-01-01,02:40:26,GTB Standard Time,25073877,realdonaldtrump,Donald J. Trump,,"MEXICO IS PAYING FOR THE WALL through the many billions of dollars a year that the U.S.A. is saving through the new Trade Deal, the USMCA, that will replace the horrendous NAFTA Trade Deal, which has so badly hurt our Country. Mexico & Canada will also thrive - good for all!",[],[],[],37177,21135,96698,[],[],https://twitter.com/realDonaldTrump/status/1079900120047603713,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1080457560291987457,1080457560291987457,1546436130000,2019-01-02,15:35:30,GTB Standard Time,25073877,realdonaldtrump,Donald J. Trump,,Mexico is paying for the Wall through the new USMCA Trade Deal. Much of the Wall has already been fully renovated or built. We have done a lot of work. $5.6 Billion Dollars that House has approved is very little in comparison to the benefits of National Security. Quick payback!,[],[],[],55498,25357,119171,[],[],https://twitter.com/realDonaldTrump/status/1080457560291987457,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1080447092882112512,1080447092882112512,1546433635000,2019-01-02,14:53:55,GTB Standard Time,25073877,realdonaldtrump,Donald J. Trump,,"Here we go with Mitt Romney, but so fast! Question will be, is he a Flake?  I hope not. Would much prefer that Mitt focus on Border Security and so many other things where he can be helpful. I won big, and he didn’t. He should be happy for all Republicans. Be a TEAM player & WIN!",[],[],[],43987,32630,163167,[],[],https://twitter.com/realDonaldTrump/status/1080447092882112512,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1080263362183917568,1080263362183917568,1546389830000,2019-01-02,02:43:50,GTB Standard Time,25073877,realdonaldtrump,Donald J. Trump,,"For FAR TOO LONG Senate Democrats have been Obstructing more than 350 Nominations. These great Americans left their jobs to serve our Country, but can’t because Dems are blocking them, some for two years-historic record. Passed committees, but Schumer putting them on hold. Bad!",[],[],[],32129,28657,118380,[],[],https://twitter.com/realDonaldTrump/status/1080263362183917568,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1080881680779542533,1080881680779542533,1546537249000,2019-01-03,19:40:49,GTB Standard Time,25073877,realdonaldtrump,Donald J. Trump,,The RNC has a great Chairwoman in Ronna McDaniel and the @GOP has never been stronger. We achieved historic wins with her help last year! #MAGA🇺🇸,['gop'],[],[],22232,16247,83587,['#maga'],[],https://twitter.com/realDonaldTrump/status/1080881680779542533,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '11134252', 'username': 'GOP'}]",,,,
1080839254656405504,1080839254656405504,1546527133000,2019-01-03,16:52:13,GTB Standard Time,25073877,realdonaldtrump,Donald J. Trump,,The United States Treasury has taken in MANY billions of dollars from the Tariffs we are charging China and other countries that have not treated us fairly. In the meantime we are doing well in various Trade Negotiations currently going on. At some point this had to be done!,[],[],[],29645,19818,98704,[],[],https://twitter.com/realDonaldTrump/status/1080839254656405504,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1080837263913832449,1080837263913832449,1546526659000,2019-01-03,16:44:19,GTB Standard Time,25073877,realdonaldtrump,Donald J. Trump,,"The Shutdown is only because of the 2020 Presidential Election. The Democrats know they can’t win based on all of the achievements of “Trump,” so they are going all out on the desperately needed Wall and Border Security - and Presidential Harassment. For them, strictly politics!",[],[],[],50134,27021,119668,[],[],https://twitter.com/realDonaldTrump/status/1080837263913832449,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1080835412271222785,1080835412271222785,1546526217000,2019-01-03,16:36:57,GTB Standard Time,25073877,realdonaldtrump,Donald J. Trump,,“MAGA list: 205 ‘historic results’ help Trump make case for 2020 re-election” https://www.washingtonexaminer.com/washington-secrets/maga-list-205-historic-results-help-trump-make-case-for-2020-reelection …,[],['https://www.washingtonexaminer.com/washington-secrets/maga-list-205-historic-results-help-trump-make-case-for-2020-reelection'],[],12611,16468,63408,[],[],https://twitter.com/realDonaldTrump/status/1080835412271222785,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1080677601046347777,1080677601046347777,1546488592000,2019-01-03,06:09:52,GTB Standard Time,25073877,realdonaldtrump,Donald J. Trump,,"Sadly, there can be no REAL Border Security without the Wall!",[],[],[],46059,27336,143923,[],[],https://twitter.com/realDonaldTrump/status/1080677601046347777,False,,0,,,,,,,"[{'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
